ano;mes;estado;municipio;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);Unnamed: 19
2014;10;PA;Conceicao do araguaia;0.06852791878172589;991.5571065989848;991.9736040609137;991.2335025380711;1503.0494923857868;28.854568527918783;20.254060913705583;29.5753807106599;27.779949238578677;21.10228426395939;19.385532994923857;68.71065989847716;60.02791878172589;63.642131979695435;144.67258883248732;4.524365482233502;1.6441624365482232;
2014;10;PA;Itaituba;0.1775609756097561;1007.3321951219513;1007.800731707317;1007.0326829268294;1627.8860975609757;29.895609756097564;23.307073170731705;30.471463414634144;29.044634146341462;23.883170731707317;22.513902439024392;68.35121951219512;67.64390243902439;67.95365853658537;115.16585365853659;4.825365853658536;1.8670731707317074;
2014;10;PA;Maraba;0.002072538860103627;998.0533678756476;998.498445595855;997.7567357512953;1460.9233160621761;28.703886010362694;21.498186528497406;29.39844559585492;27.81217616580311;22.169948186528497;20.80440414507772;71.12953367875647;63.803108808290155;67.03626943005182;170.54145077720207;4.766839378238342;1.855958549222798;
2014;10;PA;Medicilandia;0.15074626865671642;981.9703980099501;982.3858208955223;981.6865671641791;1429.6577114427862;27.817164179104477;21.5681592039801;28.363930348258705;27.053482587064675;22.17412935323383;20.95;74.51741293532338;66.6268656716418;70.06965174129353;108.55223880597015;4.00547263681592;0.796268656716418;
2014;10;PA;Mina do palito;0.0;979.8579207920792;980.2846534653465;979.5529702970298;1298.4965346534652;27.194059405940592;22.19950495049505;27.79480198019802;26.383168316831682;22.90841584158416;21.491336633663366;79.97772277227723;72.33415841584159;75.75;163.5990099009901;3.3304455445544554;1.050990099009901;
2014;10;PA;Obidos;0.11082474226804123;1000.3842783505154;1000.8329896907217;1000.1085051546391;1372.392268041237;29.902577319587632;22.41443298969072;30.905927835051546;28.702835051546394;23.129896907216494;21.67835051546392;71.10309278350516;61.69072164948454;66.04896907216495;235.98711340206185;0.44407216494845364;0.0002577319587628866;
2014;10;PA;Pacaja;0.11920199501246882;1000.6097256857855;1001.0261845386534;1000.3351620947632;1272.2581047381545;28.89725685785536;21.137406483790524;29.491521197007483;28.021197007481298;21.822693266832918;20.46284289276808;69.02992518703242;61.97007481296758;64.78304239401496;87.0997506234414;4.577306733167083;1.5865336658354117;
2014;10;PA;Paragominas;0.01407035175879397;1001.344472361809;1001.761055276382;1001.0989949748745;1668.7163316582914;29.95854271356784;21.143718592964827;30.628391959798996;28.806030150753767;21.79924623115578;20.54597989949749;65.77386934673366;59.04271356783919;61.21608040201005;77.34422110552764;6.265075376884422;2.3595477386934673;
2014;10;PA;Placas;0.06947890818858561;998.85682382134;999.3096774193548;998.5749379652606;1256.1808933002483;29.97717121588089;20.89950372208437;30.688833746898265;28.920843672456577;21.501985111662528;20.324565756823823;64.91066997518611;57.78163771712159;60.42679900744417;94.6774193548387;4.839205955334988;1.5325062034739454;
2014;10;PA;Rondon do para;0.1198992443324937;985.1319899244334;985.564483627204;984.8576826196473;1493.0450881612092;29.284130982367756;19.95869017632242;29.944080604534005;28.247607052896722;20.58916876574307;19.41964735516373;63.8992443324937;57.468513853904284;59.71536523929471;116.19395465994963;5.7015113350125946;2.100251889168766;
2014;10;PA;Salinopolis;0.015064935064935068;1009.1335064935065;1009.4438961038961;1008.8548051948052;1665.7181818181818;29.221818181818183;15.476623376623376;29.913766233766232;28.560519480519478;16.96831168831169;14.412467532467533;49.142857142857146;40.87532467532468;44.103896103896105;66.75844155844156;9.602337662337662;3.53012987012987;
